Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-December-2024,236.90,236.95,232.75,234.10,234.614075556438184567,130922,1774,30716144.00,46278,35.35,4.20,-2.80
3-December-2024,232.70,236.00,232.00,235.55,234.798368851262589403,274040,5345,64344145.00,152257,55.56,4.00,2.85
2-December-2024,230.55,232.35,229.70,231.80,230.597657226155768429,192080,1881,44293198.00,122612,63.83,2.65,1.25
29-November-2024,229.00,232.10,227.35,229.95,230.540753553581678873,911123,10507,210050983.00,671701,73.72,4.75,0.95
28-November-2024,229.00,230.85,226.85,227.85,227.908549544670528964,439462,2280,100157147.00,355564,80.91,4.00,-1.15
27-November-2024,227.00,229.30,225.70,227.70,227.363186252016755724,135118,2990,30720859.00,69800,51.66,3.60,0.70
26-November-2024,226.80,228.70,225.35,226.55,226.409647510281680411,969929,16433,219601283.00,820573,84.60,3.35,-0.25
25-November-2024,224.70,228.00,223.80,226.80,224.913734861099903903,545284,11206,122641861.00,382440,70.14,4.20,2.10
22-November-2024,218.10,222.35,218.10,220.70,220.127511377926821965,267184,3794,58814549.00,106273,39.78,4.25,2.60
21-November-2024,223.75,223.75,215.35,217.65,218.658484352587025476,197988,2802,43291756.00,58123,29.36,8.40,-6.10
19-November-2024,223.20,225.25,219.90,221.15,222.869680413805314211,316284,4758,70490114.00,109941,34.76,5.35,-2.05
18-November-2024,219.65,229.30,219.25,222.75,223.960575814982158123,557957,7028,124960371.00,140480,25.18,10.05,3.10
14-November-2024,223.55,228.50,218.10,218.85,222.294987030012272676,286816,3255,63757759.00,86902,30.30,10.40,-4.70
13-November-2024,225.00,226.65,220.70,223.15,223.607438511148669676,417718,4911,93404852.00,101873,24.39,5.95,-1.85
12-November-2024,233.40,233.40,223.00,224.70,226.435250229627311025,1364167,15803,308895496.00,293668,21.53,10.40,-8.70
11-November-2024,234.90,234.95,227.15,232.95,231.722142187212796943,636527,7822,147497400.00,275624,43.30,7.80,-1.95
8-November-2024,240.85,246.20,231.45,235.65,238.751281023554867390,601277,5974,143555654.00,126620,21.06,14.75,-5.20
7-November-2024,242.95,244.20,237.80,238.85,240.574040001052552744,494037,6559,118852477.00,235498,47.67,6.40,-4.10
6-November-2024,238.20,241.60,230.45,241.10,236.519396389866475709,572555,5086,135420363.00,171251,29.91,11.15,2.90
5-November-2024,226.25,236.50,226.25,234.70,232.780034143533787342,1023327,13474,238210094.00,399606,39.05,10.25,8.45
4-November-2024,224.95,227.35,222.25,226.55,225.476648841354723707,302940,3659,68305896.00,62317,20.57,5.10,1.60
1-November-2024,222.05,225.00,221.65,222.65,223.127155091813456000,26739,955,5966197.00,14757,55.19,3.35,0.60
31-October-2024,225.75,225.75,218.80,221.60,222.696063695819961815,344638,2846,76749526.00,51227,14.86,6.95,-4.15
30-October-2024,225.75,228.00,223.55,224.05,226.019275299491419689,94577,1297,21376225.00,33776,35.71,4.45,-1.70
29-October-2024,227.90,228.60,216.60,226.00,222.690424839184423190,265677,2864,59163724.00,70361,26.48,12.00,-1.90
28-October-2024,218.55,229.00,215.05,227.95,225.303737657951012803,2535438,7576,571243658.00,2006023,79.12,13.95,9.40
25-October-2024,216.00,219.00,210.15,217.90,215.010761092344797743,894333,10456,192291219.00,280243,31.34,8.85,1.90
24-October-2024,217.00,220.00,215.20,215.95,216.956052515604021686,97571,1457,21168619.00,34364,35.22,4.80,-1.05
23-October-2024,220.10,225.05,217.50,218.20,220.416488707850273566,414890,5882,91448597.00,121536,29.29,7.55,-1.90
22-October-2024,225.60,226.10,214.60,215.40,219.315758153820313015,833505,7954,182800781.00,558742,67.04,11.50,-10.20
21-October-2024,231.45,233.50,224.45,225.65,228.545274281586513392,418074,5776,95548837.00,257172,61.51,9.05,-5.80
18-October-2024,222.50,232.35,219.50,231.45,228.305207450095569320,556664,6104,127089290.00,199033,35.75,12.85,8.95
17-October-2024,232.95,232.95,222.20,224.45,224.666016654620571867,838446,2474,188370323.00,737876,88.01,10.75,-8.50
16-October-2024,232.00,234.15,229.75,231.35,231.798894171697206047,112314,1710,26034261.00,27227,24.24,4.40,-0.65
15-October-2024,238.80,238.80,231.25,231.80,233.193556414309971309,136632,1934,31861702.00,57033,41.74,7.55,-7.00
14-October-2024,234.90,238.70,233.85,237.00,236.093628733097423799,175491,2500,41432307.00,45703,26.04,4.85,2.10
11-October-2024,227.00,235.45,226.55,233.35,232.772327201795777846,231209,2669,53819057.00,50749,21.95,8.90,6.35
10-October-2024,225.85,231.00,225.50,226.30,227.319870959039611528,355856,3203,80893140.00,174561,49.05,5.50,0.45
9-October-2024,222.45,228.25,214.35,224.10,221.694055509317526694,788192,7671,174737481.00,273488,34.70,13.90,1.65
8-October-2024,223.25,224.10,211.05,219.10,218.614613610279837050,976747,13951,213531168.00,340896,34.90,13.05,-4.15
7-October-2024,237.15,241.35,225.10,228.80,230.539336632709582640,332184,3590,76581479.00,125840,37.88,16.25,-8.35
4-October-2024,237.45,242.00,234.05,236.55,238.116523286199809319,720577,7637,171581290.00,311628,43.25,7.95,-0.90
3-October-2024,238.95,245.20,236.70,239.45,240.889746506110289823,357839,3635,86199746.00,127085,35.51,8.50,0.50
1-October-2024,244.75,247.40,239.30,243.85,243.591031787512555626,464931,6656,113253022.00,105113,22.61,8.10,-0.90
30-September-2024,242.35,247.10,240.05,244.85,244.944083879176422147,1401349,11491,343252147.00,425103,30.34,7.05,2.50
27-September-2024,237.00,239.70,234.45,235.10,236.914148023471752554,977345,14208,231546858.00,519962,53.20,5.25,-1.90
26-September-2024,226.00,235.05,221.95,234.45,230.172487423722318386,615842,8458,141749885.00,330694,53.70,13.10,8.45
25-September-2024,225.35,229.20,224.80,225.75,227.165537512832997304,889309,11091,202020357.00,388429,43.68,4.40,0.40
24-September-2024,219.00,225.45,218.80,223.95,223.742505204581875545,1518854,22790,339832199.00,811755,53.45,6.65,4.95
23-September-2024,212.60,215.95,212.20,215.55,214.786932700904888426,315398,7371,67743369.00,187596,59.48,3.75,2.95
20-September-2024,214.10,218.15,211.75,212.55,215.524333919450724273,597150,8269,128700356.00,274593,45.98,6.40,-1.55
19-September-2024,212.40,215.30,205.65,212.50,209.617439569554529991,594361,8498,124588431.00,285468,48.03,9.65,0.10
18-September-2024,214.55,214.55,209.50,212.25,212.064637607236460125,184289,3468,39081180.00,82132,44.57,5.05,-2.30
17-September-2024,218.45,219.30,213.70,214.60,215.500311849949651041,286997,6489,61847943.00,134529,46.87,5.60,-3.85
16-September-2024,222.15,223.50,218.75,219.10,221.412017820459713756,473164,6518,104764196.00,214828,45.40,4.75,-3.05
13-September-2024,217.20,221.90,216.50,220.70,220.091727680596001745,701206,11310,154329640.00,371130,52.93,5.40,3.50
