Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-October-2024,1275.15,1289.25,1255.00,1280.15,1271.899536321483771251,2588,197,3291676.00,1794,69.32,34.25,5.00
18-October-2024,1295.00,1305.40,1275.05,1301.15,1300.450586264656616415,1791,107,2329107.00,1498,83.64,30.35,6.15
17-October-2024,1315.00,1315.00,1287.60,1291.55,1298.956462585034013605,735,106,954733.00,629,85.58,27.40,-23.45
16-October-2024,1311.10,1329.40,1310.90,1318.55,1318.500840336134453781,1785,225,2353524.00,834,46.72,18.50,7.45
15-October-2024,1310.00,1320.45,1291.00,1311.10,1309.499408284023668639,845,142,1106527.00,459,54.32,29.45,1.10
14-October-2024,1274.20,1295.90,1274.20,1286.15,1286.445414847161572052,916,111,1178384.00,647,70.63,21.70,11.95
11-October-2024,1261.95,1278.80,1255.05,1275.35,1266.732558139534883720,258,93,326817.00,152,58.91,23.75,13.40
10-October-2024,1283.85,1288.40,1265.15,1273.65,1273.756306113723813595,2339,214,2979316.00,2062,88.16,23.25,-10.20
9-October-2024,1287.00,1295.10,1250.80,1276.45,1278.293349168646080760,842,101,1076323.00,656,77.91,44.30,-10.55
8-October-2024,1258.00,1274.40,1249.65,1255.60,1259.668036154478225143,1217,129,1533016.00,758,62.28,24.75,-2.40
7-October-2024,1285.00,1285.00,1246.55,1258.85,1254.249282296650717703,2090,424,2621381.00,1117,53.44,38.45,-26.15
4-October-2024,1266.00,1283.90,1228.55,1240.45,1251.712574850299401197,1503,178,1881324.00,822,54.69,55.35,-25.55
3-October-2024,1275.05,1290.00,1266.00,1271.45,1278.928172043010752688,2325,238,2973508.00,1282,55.14,24.00,-3.60
1-October-2024,1307.85,1318.05,1282.40,1299.25,1308.103345280764635603,1674,193,2189765.00,1391,83.09,35.65,-8.60
30-September-2024,1333.00,1333.00,1303.00,1312.75,1312.637618636755823986,2318,126,3042694.00,1825,78.73,30.00,-20.25
27-September-2024,1364.00,1364.00,1320.35,1333.15,1334.136605056299128956,4707,466,6279781.00,2316,49.20,43.65,-30.85
26-September-2024,1395.00,1395.00,1333.90,1363.20,1353.609604379198805673,4019,269,5440157.00,2496,62.10,61.10,-31.80
25-September-2024,1379.90,1379.90,1336.90,1351.20,1341.271873165002935995,3406,378,4568372.00,891,26.16,43.00,-28.70
24-September-2024,1370.10,1370.10,1339.00,1349.00,1348.413250714966634890,12588,305,16973826.00,11476,91.17,31.10,-21.10
23-September-2024,1325.30,1340.80,1309.95,1338.45,1330.367077464788732394,1136,156,1511297.00,595,52.38,30.85,13.15
20-September-2024,1299.95,1310.45,1263.50,1304.80,1285.348249027237354085,3084,280,3964014.00,715,23.18,46.95,4.85
19-September-2024,1247.40,1301.65,1244.85,1265.55,1266.824156671664167916,53360,205,67597737.00,50623,94.87,56.80,18.15
18-September-2024,1298.00,1298.00,1240.10,1247.50,1249.023797719385225582,2017,94,2519281.00,1755,87.01,57.90,-50.50
17-September-2024,1231.40,1258.20,1231.40,1254.75,1247.318309859154929577,1065,163,1328394.00,502,47.14,26.80,23.35
16-September-2024,1226.00,1246.35,1226.00,1231.40,1240.773388773388773388,962,77,1193624.00,516,53.64,20.35,5.40
13-September-2024,1269.10,1269.10,1225.00,1226.70,1229.901533894111825828,2021,223,2485631.00,1401,69.32,44.10,-42.40
12-September-2024,1144.20,1242.30,1144.20,1238.10,1223.444818871103622577,1187,89,1452229.00,731,61.58,98.10,93.90
11-September-2024,1179.70,1190.95,1171.90,1173.50,1183.544072948328267477,1316,103,1557544.00,604,45.90,19.05,-6.20
10-September-2024,1199.00,1199.00,1148.00,1170.15,1156.177902280833046796,148323,266,171487775.00,1363,0.92,51.00,-28.85
9-September-2024,1135.40,1140.85,1129.00,1137.40,1134.353005464480874316,915,106,1037933.00,463,50.60,11.85,2.00
6-September-2024,1191.15,1191.15,1128.15,1135.20,1162.152116692257073919,9118,286,10596503.00,3252,35.67,63.00,-55.95
