date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2025-02-24,1175.0,1176.4,1150.1,1151.2,1572,253,1817136.0
2025-02-21,1203.8,1224.4,1182.4,1188.55,1525,128,1838483.0
2025-02-20,1204.0,1205.0,1182.4,1203.65,723,144,863398.0
2025-02-19,1218.85,1218.85,1190.4,1200.4,113,26,136243.0
2025-02-18,1231.25,1231.25,1212.4,1218.85,222,57,270496.0
2025-02-17,1265.55,1284.0,1218.0,1221.05,99,26,123458.0
2025-02-14,1268.8,1276.05,1256.2,1264.9,33255,873,42042383.0
2025-02-13,1250.6,1268.9,1250.6,1267.75,865,54,1094378.0
2025-02-12,1242.3,1280.0,1229.1,1267.15,461,59,569433.0
2025-02-11,1254.25,1257.1,1220.0,1235.0,1287,392,1593087.0
2025-02-10,1280.0,1288.4,1244.0,1245.2,2019,233,2521388.0
2025-02-07,1239.0,1278.45,1231.25,1244.45,3498,480,4416520.0
2025-02-06,1225.0,1228.7,1188.75,1192.8,196,40,236610.0
2025-02-05,1229.25,1238.9,1220.95,1229.05,690,87,846760.0
2025-02-04,1213.9,1229.65,1205.0,1229.25,857,91,1038298.0
2025-02-03,1189.4,1230.0,1189.4,1223.55,1073,224,1306787.0
2025-02-01,1202.15,1209.85,1189.4,1193.4,97,24,116307.0
2025-01-31,1214.95,1214.95,1144.2,1199.0,1127,118,1321877.0
2025-01-30,1162.0,1215.0,1162.0,1214.25,885,167,1065017.0
2025-01-29,1192.75,1200.25,1165.15,1174.1,594,95,703400.0
2025-01-28,1178.0,1202.7,1172.65,1193.75,4703,311,5554697.0
2025-01-27,1211.5,1211.5,1172.75,1179.75,614,60,725122.0
2025-01-24,1205.25,1234.95,1205.25,1218.85,807,92,989537.0
2025-01-23,1224.4,1224.4,1210.0,1211.05,848,117,1028428.0
2025-01-22,1212.15,1218.75,1207.7,1210.05,804,94,974332.0
2025-01-21,1215.35,1231.7,1200.9,1208.75,1194,153,1454895.0
2025-01-20,1206.1,1224.4,1206.1,1215.85,2483,197,3019352.0
2025-01-17,1213.7,1213.7,1200.5,1206.1,392,46,473021.0
2025-01-16,1199.85,1212.6,1198.5,1210.9,507,155,612547.0
2025-01-15,1101.0,1195.75,1101.0,1187.2,775,105,920347.0
2025-01-14,1206.0,1206.0,1162.5,1176.2,577,57,675758.0
2025-01-13,1196.5,1198.15,1170.0,1177.5,11500,823,13462581.0
2025-01-10,1190.75,1203.0,1183.3,1196.5,186,30,222632.0
2025-01-09,1180.0,1199.85,1180.0,1190.7,550,104,653899.0
2025-01-08,1170.8,1198.95,1166.0,1186.3,641,80,752282.0
2025-01-07,1171.55,1178.95,1162.4,1176.35,629,113,738976.0
2025-01-06,1209.5,1209.5,1160.85,1171.55,1267,100,1482470.0
2025-01-03,1190.0,1191.05,1177.8,1180.0,531,71,628020.0
2025-01-02,1183.95,1197.5,1181.1,1191.7,780,64,929423.0
2025-01-01,1199.0,1199.0,1170.15,1180.6,790,109,932604.0
2024-12-31,1168.65,1177.85,1152.55,1177.5,618,45,723908.0
2024-12-30,1190.05,1192.55,1173.5,1177.85,858,83,1017146.0
2024-12-27,1175.0,1211.8,1175.0,1185.5,215,23,258007.0
2024-12-26,1175.0,1185.95,1175.0,1182.55,50358,43,59172261.0
2024-12-24,1176.7,1180.4,1161.0,1164.9,908,78,1059393.0
2024-12-23,1185.2,1191.95,1166.5,1170.15,1105,159,1301931.0
2024-12-20,1188.2,1205.75,1161.95,1169.85,897,112,1057348.0
2024-12-19,1080.1,1192.0,1080.1,1188.2,955,56,1111345.0
2024-12-18,1198.55,1205.2,1181.55,1189.85,555,66,661044.0
2024-12-17,1234.5,1234.5,1191.5,1200.7,1389,277,1671514.0
2024-12-16,1265.5,1265.5,1244.0,1247.2,919,123,1147924.0
2024-12-13,1195.0,1268.25,1195.0,1264.95,5924,452,7306782.0
2024-12-12,1187.0,1199.6,1178.05,1192.7,743,134,880919.0
2024-12-11,1160.25,1169.15,1157.3,1168.1,430,63,500406.0
2024-12-10,1174.45,1176.0,1150.0,1160.2,1123,147,1302854.0
2024-12-09,1182.3,1188.6,1174.1,1186.45,960,94,1137517.0
2024-12-06,1205.55,1205.6,1177.3,1182.3,699,105,828010.0
2024-12-05,1174.55,1202.35,1173.5,1191.35,2750,232,3271865.0
2024-12-04,1207.0,1207.0,1170.15,1174.55,3000,256,3529942.0
2024-12-03,1224.5,1224.5,1205.0,1208.5,987,156,1195161.0
2024-12-02,1219.8,1230.0,1204.0,1227.35,846,77,1033252.0
2024-11-29,1157.0,1228.9,1156.95,1215.35,1396,103,1689026.0
2024-11-28,1268.0,1268.0,1145.55,1146.75,282,44,330176.0
2024-11-27,1148.0,1162.1,1142.05,1156.8,1646,105,1901614.0
2024-11-26,1184.25,1184.25,1152.35,1159.65,607,126,706206.0
2024-11-25,1136.0,1189.4,1136.0,1168.1,988,99,1165494.0
2024-11-22,1112.0,1158.9,1105.65,1155.6,975,91,1105556.0
2024-11-21,1147.0,1147.0,1096.2,1110.0,1376,201,1519640.0
2024-11-19,1121.05,1143.1,1103.55,1111.4,1941,142,2201317.0
2024-11-18,1150.0,1150.0,1115.7,1121.05,1079,207,1211701.0
2024-11-14,1136.0,1140.65,1124.45,1136.05,1847,199,2096127.0
2024-11-13,1146.15,1155.75,1135.8,1140.65,945,161,1084549.0
2024-11-12,1151.0,1183.0,1144.0,1145.55,1353,283,1568611.0
2024-11-11,1161.6,1172.35,1150.45,1153.2,691,98,800409.0
2024-11-08,1160.0,1168.9,1160.0,1167.6,511,83,594982.0
2024-11-07,1184.6,1193.25,1169.5,1170.7,468,96,550676.0
2024-11-06,1174.05,1200.55,1167.1,1192.75,404,65,479675.0
2024-11-05,1151.0,1185.9,1151.0,1173.05,652,88,761847.0
2024-11-04,1206.9,1206.9,1166.25,1184.4,1042,201,1227088.0
2024-11-01,1215.3,1215.3,1192.2,1207.7,410,55,494785.0
2024-10-31,1220.35,1220.35,1198.0,1209.6,431,69,520874.0
2024-10-30,1230.0,1239.35,1213.5,1220.3,1153,157,1412327.0
2024-10-29,1354.0,1354.0,1202.8,1230.45,3461,478,4246306.0
2024-10-28,1241.9,1265.0,1239.55,1251.5,1384,249,1738583.0
2024-10-25,1260.15,1272.9,1245.2,1258.9,4835,383,6072207.0
2024-10-24,1264.4,1276.85,1250.5,1270.3,926,133,1169661.0
2024-10-23,1280.0,1286.25,1272.75,1276.85,248,39,317722.0
2024-10-22,1280.15,1294.7,1272.85,1277.5,1916,208,2457946.0
2024-10-21,1275.15,1289.25,1255.0,1280.15,2588,197,3291676.0
2024-10-18,1295.0,1305.4,1275.05,1301.15,1791,107,2329107.0
2024-10-17,1315.0,1315.0,1287.6,1291.55,735,106,954733.0
2024-10-16,1311.1,1329.4,1310.9,1318.55,1785,225,2353524.0
2024-10-15,1310.0,1320.45,1291.0,1311.1,845,142,1106527.0
2024-10-14,1274.2,1295.9,1274.2,1286.15,916,111,1178384.0
2024-10-11,1261.95,1278.8,1255.05,1275.35,258,93,326817.0
2024-10-10,1283.85,1288.4,1265.15,1273.65,2339,214,2979316.0
2024-10-09,1287.0,1295.1,1250.8,1276.45,842,101,1076323.0
2024-10-08,1258.0,1274.4,1249.65,1255.6,1217,129,1533016.0
2024-10-07,1285.0,1285.0,1246.55,1258.85,2090,424,2621381.0
2024-10-04,1266.0,1283.9,1228.55,1240.45,1503,178,1881324.0
2024-10-03,1275.05,1290.0,1266.0,1271.45,2325,238,2973508.0
2024-10-01,1307.85,1318.05,1282.4,1299.25,1674,193,2189765.0
2024-09-30,1333.0,1333.0,1303.0,1312.75,2318,126,3042694.0
2024-09-27,1364.0,1364.0,1320.35,1333.15,4707,466,6279781.0
2024-09-26,1395.0,1395.0,1333.9,1363.2,4019,269,5440157.0
2024-09-25,1379.9,1379.9,1336.9,1351.2,3406,378,4568372.0
2024-09-24,1370.1,1370.1,1339.0,1349.0,12588,305,16973826.0
2024-09-23,1325.3,1340.8,1309.95,1338.45,1136,156,1511297.0
2024-09-20,1299.95,1310.45,1263.5,1304.8,3084,280,3964014.0
2024-09-19,1247.4,1301.65,1244.85,1265.55,53360,205,67597737.0
2024-09-18,1298.0,1298.0,1240.1,1247.5,2017,94,2519281.0
2024-09-17,1231.4,1258.2,1231.4,1254.75,1065,163,1328394.0
2024-09-16,1226.0,1246.35,1226.0,1231.4,962,77,1193624.0
2024-09-13,1269.1,1269.1,1225.0,1226.7,2021,223,2485631.0
2024-09-12,1144.2,1242.3,1144.2,1238.1,1187,89,1452229.0
2024-09-11,1179.7,1190.95,1171.9,1173.5,1316,103,1557544.0
2024-09-10,1199.0,1199.0,1148.0,1170.15,148323,266,171487775.0
2024-09-09,1135.4,1140.85,1129.0,1137.4,915,106,1037933.0
2024-09-06,1191.15,1191.15,1128.15,1135.2,9118,286,10596503.0
2024-09-05,1157.8,1160.85,1143.6,1148.8,1146,106,1322148.0
2024-09-04,1150.0,1165.0,1138.95,1163.75,1016,65,1174401.0
2024-09-03,1150.0,1177.6,1140.05,1159.8,1310,162,1522139.0
2024-09-02,1188.0,1198.5,1167.15,1175.1,1157,85,1360987.0
2024-08-30,1169.0,1205.5,1168.4,1189.55,1395,169,1660933.0
2024-08-29,1269.9,1269.9,1147.05,1159.95,4137,233,4796939.0
2024-08-28,1122.2,1164.45,1122.15,1155.75,4167,208,4775240.0
2024-08-27,1073.0,1127.8,1073.0,1124.1,3849,245,4298997.0
2024-08-26,1098.05,1119.4,1098.0,1115.95,1613,145,1797553.0
2024-08-23,1088.9,1108.95,1083.35,1106.55,1777,144,1956568.0
2024-08-22,1075.0,1100.0,1075.0,1088.9,771,103,841123.0
2024-08-21,1060.25,1071.7,1057.1,1066.35,2641,287,2806568.0
2024-08-20,1075.0,1080.0,1058.6,1060.25,1003,120,1065982.0
2024-08-19,1094.0,1094.0,1073.0,1078.6,1042,118,1121731.0
2024-08-16,1077.85,1099.3,1076.15,1087.65,3732,125,4038423.0
2024-08-14,1070.0,1082.85,1066.1,1077.85,582,72,626701.0
2024-08-13,1073.0,1083.25,1065.1,1066.85,1491,130,1603831.0
2024-08-12,1068.0,1085.0,1060.0,1072.7,1484,129,1583139.0
2024-08-09,1069.95,1090.0,1069.5,1070.8,1370,106,1483123.0
2024-08-08,1045.6,1075.4,1045.05,1066.2,1923,105,2032562.0
2024-08-07,1044.85,1054.4,1027.65,1046.25,1054,128,1101246.0
2024-08-06,1159.9,1159.9,1031.2,1044.85,3182,263,3345217.0
2024-08-05,1087.55,1087.55,1048.0,1061.7,2437,316,2583757.0
2024-08-02,1085.5,1096.15,1078.35,1087.55,1523,89,1662001.0
2024-08-01,1084.0,1104.95,1084.0,1100.3,1393,221,1527439.0
2024-07-31,1075.1,1095.6,1067.95,1084.7,2451,355,2655096.0
2024-07-30,1085.0,1085.0,1062.0,1068.9,1927,209,2061961.0
2024-07-29,1115.0,1120.0,1071.05,1073.1,3398,228,3682147.0
2024-07-26,1066.45,1117.0,1063.7,1105.0,3569,218,3892342.0
2024-07-25,1041.9,1054.5,1033.5,1041.9,1308,138,1366425.0
2024-07-24,1054.95,1057.5,1030.0,1043.25,1711,152,1789194.0
2024-07-23,1063.0,1065.0,1026.6,1060.4,1852,102,1949774.0
2024-07-22,1056.0,1065.8,1052.9,1063.0,2182,199,2312143.0
2024-07-19,1079.0,1079.0,1052.25,1062.7,1667,160,1768267.0
2024-07-18,1062.9,1081.8,1055.1,1080.0,3809,133,4065821.0
2024-07-16,1039.0,1071.0,1039.0,1069.25,5344,507,5677549.0
2024-07-15,1030.5,1037.9,1029.4,1035.45,636,69,657337.0
2024-07-12,1031.8,1039.0,1020.4,1029.5,1141,187,1177327.0
2024-07-11,1046.25,1046.25,1026.2,1038.4,2478,178,2563183.0
2024-07-10,1035.0,1049.0,1024.0,1046.25,6699,492,6927120.0
2024-07-09,1031.2,1038.0,1026.0,1031.9,1369,236,1412133.0
2024-07-08,1025.0,1039.4,1004.5,1031.2,1933,162,1996941.0
