date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2024-07-05,3103.8,3197.65,3096.1,3180.05,758977,39223,2395994464.0
2024-07-04,3116.95,3134.5,3102.3,3107.9,132481,13248,413198916.0
2024-07-03,3130.35,3149.5,3085.2,3105.3,171684,13522,533536262.0
2024-07-02,3133.8,3150.0,3113.35,3132.3,157108,12409,491521890.0
2024-07-01,3129.95,3157.55,3110.4,3120.35,187606,14142,586642831.0
2024-06-28,3060.95,3161.45,3060.95,3131.85,1032891,64567,3228906833.0
2024-06-27,3021.5,3075.0,3012.1,3061.1,331110,12485,1011863672.0
2024-06-26,2899.95,3037.0,2890.15,3027.4,722696,52941,2157046014.0
2024-06-25,2895.0,2912.1,2883.4,2908.5,209726,14487,607717916.0
2024-06-24,2892.0,2899.0,2874.4,2883.0,62693,6745,180916015.0
2024-06-21,2943.4,2949.05,2880.5,2906.8,897470,40925,2606824917.0
2024-06-20,2929.95,2964.9,2900.7,2946.4,99122,8108,292029589.0
2024-06-19,2971.4,2975.2,2911.25,2917.2,97508,8454,286417970.0
2024-06-18,2970.2,2974.0,2941.2,2961.4,108022,7033,319095752.0
2024-06-14,2936.1,2958.7,2913.4,2954.55,186345,9324,548859940.0
2024-06-13,2946.0,2946.0,2920.55,2928.65,57563,5118,168822232.0
2024-06-12,2913.5,2952.0,2911.0,2926.05,172574,15651,506357001.0
2024-06-11,2949.95,2949.95,2910.0,2913.5,125968,8377,368520231.0
2024-06-10,2943.75,2986.55,2935.55,2940.6,87066,7608,257700119.0
2024-06-07,2858.0,2944.5,2852.95,2939.45,952205,45635,2785815778.0
2024-06-06,2869.0,2886.0,2843.0,2863.75,255378,20470,730868612.0
2024-06-05,2848.95,2861.35,2768.05,2842.15,180086,17261,507272265.0
2024-06-04,3007.95,3007.95,2719.15,2793.6,1035428,84014,2938887020.0
2024-06-03,2974.9,3029.9,2918.0,3021.25,315231,20743,938870536.0
2024-05-31,2864.65,2884.2,2843.25,2859.6,797286,41213,2279258858.0
2024-05-30,2884.0,2884.0,2841.5,2850.0,54132,7040,154664508.0
2024-05-29,2897.0,2916.1,2877.0,2881.45,65081,6177,188495076.0
2024-05-28,2941.95,2957.0,2905.4,2911.25,116320,8657,341541453.0
2024-05-27,2960.8,2967.45,2924.0,2932.45,134571,8684,395769481.0
2024-05-24,2966.0,2977.0,2951.2,2959.8,456597,19166,1352356429.0
2024-05-23,2918.3,2983.55,2912.0,2973.2,197056,12377,581355082.0
2024-05-22,2872.9,2936.8,2872.9,2920.75,110842,9573,323631427.0
2024-05-21,2859.0,2883.0,2852.9,2871.3,130907,11391,374954997.0
2024-05-18,2872.1,2878.8,2865.0,2869.05,9314,2084,26739002.0
2024-05-17,2842.35,2874.85,2826.0,2870.7,415357,15421,1189957352.0
2024-05-16,2835.0,2854.3,2796.6,2850.2,71121,7019,201104948.0
2024-05-15,2845.0,2859.4,2825.5,2831.15,51822,5556,147393529.0
2024-05-14,2805.0,2854.05,2800.0,2839.8,137617,14808,390683921.0
2024-05-13,2798.05,2813.15,2768.05,2805.3,131567,15396,367036853.0
2024-05-10,2790.15,2821.35,2775.2,2815.15,382788,32294,1074097905.0
2024-05-09,2859.0,2859.0,2780.0,2786.8,106347,11229,297773166.0
2024-05-08,2795.0,2866.95,2795.0,2836.95,278869,18050,788591051.0
2024-05-07,2832.0,2840.75,2785.0,2803.95,169570,13904,476495931.0
2024-05-06,2875.0,2881.45,2836.25,2839.0,143404,14693,409489671.0
2024-05-03,2938.55,2949.1,2832.7,2868.5,343554,23433,987584933.0
2024-05-02,2945.35,2953.9,2927.65,2932.1,124785,9319,367516728.0
2024-04-30,2930.9,2965.0,2927.0,2931.15,237096,15699,698467306.0
2024-04-29,2902.95,2935.55,2900.1,2930.5,194646,8166,570092089.0
2024-04-26,2925.15,2930.0,2900.0,2903.0,450580,15557,1310086953.0
2024-04-25,2888.0,2935.0,2885.2,2918.4,192974,15993,562006572.0
2024-04-24,2922.3,2936.65,2898.7,2900.6,78386,6486,228852857.0
2024-04-23,2968.55,2986.05,2912.5,2918.5,273433,17748,805025500.0
2024-04-22,2950.0,2964.3,2936.6,2960.6,175983,13611,519293098.0
2024-04-19,2918.95,2947.0,2886.75,2941.6,530975,20718,1558443265.0
2024-04-18,2929.0,2971.5,2919.0,2928.15,205714,13515,605524697.0
2024-04-16,2909.95,2942.0,2902.1,2934.45,157052,11704,459485361.0
2024-04-15,2908.65,2964.5,2893.15,2932.9,301990,23209,886120825.0
2024-04-12,2955.0,2973.0,2925.7,2935.1,677948,29990,1998478377.0
2024-04-10,2949.95,2974.0,2934.55,2958.6,164355,9664,485539995.0
2024-04-09,2975.0,2978.75,2925.0,2927.1,59883,6112,176606576.0
2024-04-08,2923.4,2980.5,2923.4,2971.0,148392,8242,440493722.0
2024-04-05,2928.0,2941.5,2911.9,2919.95,431312,18136,1262027068.0
2024-04-04,2958.55,2958.55,2900.5,2926.45,104590,11700,306019601.0
2024-04-03,2966.9,2966.9,2938.0,2942.4,127109,8238,375427290.0
2024-04-02,2969.5,2987.9,2950.0,2971.3,118525,7370,351495761.0
2024-04-01,2985.0,2988.5,2965.0,2969.5,229355,13392,681765894.0
2024-03-28,2994.35,3011.25,2959.0,2976.8,422263,19036,1263712725.0
2024-03-27,2899.65,2999.9,2897.9,2987.85,471025,30930,1402762054.0
2024-03-26,2888.6,2905.25,2877.0,2884.15,943865,6807,2724629218.0
2024-03-22,2897.05,2920.0,2895.35,2909.9,562484,15427,1636311906.0
2024-03-21,2891.4,2915.0,2889.65,2901.3,77091,5769,223812837.0
2024-03-20,2851.05,2890.2,2848.05,2886.8,152906,10817,439411877.0
2024-03-19,2865.6,2873.6,2835.0,2850.75,128206,10945,365047196.0
2024-03-18,2837.2,2883.0,2833.65,2878.35,146410,12317,417992424.0
2024-03-15,2854.95,2866.45,2826.9,2837.25,396001,21991,1124883765.0
2024-03-14,2865.0,2897.35,2851.0,2865.25,162637,20571,467519794.0
2024-03-13,2955.45,2965.95,2855.85,2864.7,97957,8660,285002236.0
2024-03-12,2932.0,2976.3,2932.0,2950.2,83500,7871,247013738.0
2024-03-11,2984.7,2984.7,2927.35,2931.2,111587,10618,329750505.0
2024-03-07,3002.15,3005.9,2951.25,2958.1,387052,22348,1150199189.0
2024-03-06,2989.45,3019.0,2957.0,3005.95,110021,8033,328644416.0
2024-03-05,3011.7,3011.7,2973.0,2998.3,70928,6149,212266031.0
2024-03-04,2981.0,3024.8,2975.05,3011.6,139795,9389,419935054.0
2024-03-02,2980.7,3000.0,2975.0,2980.85,36619,9696,109475606.0
2024-03-01,2916.7,2999.0,2916.7,2986.0,544407,33877,1618628524.0
2024-02-29,2931.05,2958.0,2909.55,2924.75,192376,11046,564263871.0
2024-02-28,2964.9,2982.0,2900.55,2909.0,64333,7090,188588952.0
2024-02-27,2968.8,2999.85,2956.0,2970.4,83211,5724,247674017.0
2024-02-26,2989.75,2989.75,2964.55,2974.35,40874,4779,121588748.0
2024-02-23,2971.4,2996.15,2965.25,2986.35,653001,31433,1948776392.0
2024-02-22,2937.95,2969.1,2916.0,2963.35,212597,12452,624520308.0
2024-02-21,2943.85,2977.0,2916.15,2938.2,103405,11504,305113731.0
2024-02-20,2949.9,2949.9,2924.0,2940.75,104430,6247,306591367.0
2024-02-19,2921.35,2958.8,2907.55,2946.15,163441,12133,479587095.0
2024-02-16,2945.05,2953.3,2917.35,2921.35,542931,20042,1588985943.0
2024-02-15,2963.4,2968.4,2932.9,2941.9,81881,14250,241231539.0
2024-02-14,2911.4,2966.6,2911.4,2962.6,122707,8937,361108673.0
2024-02-13,2910.4,2957.8,2909.4,2928.95,322902,13850,947543969.0
2024-02-12,2922.3,2922.35,2885.0,2902.95,147206,17705,427035538.0
2024-02-09,2905.0,2944.15,2902.6,2922.3,812171,30548,2374774211.0
2024-02-08,2895.6,2919.75,2856.7,2902.95,98849,7477,285310560.0
