date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2025-06-19,3448.7,3452.0,3413.35,3424.25,53098,6447,181981867.0
2025-06-18,3524.35,3539.45,3443.65,3452.2,51232,4234,178400979.0
2025-06-17,3510.0,3522.3,3488.2,3515.25,570631,18378,2005420744.0
2025-06-16,3423.25,3508.2,3423.25,3495.35,237333,18279,828980640.0
2025-06-13,3400.0,3450.0,3392.75,3447.1,64111,4315,219917957.0
2025-06-12,3477.0,3477.0,3423.1,3433.95,180783,11558,623940013.0
2025-06-11,3465.15,3489.2,3450.0,3472.15,111532,9080,387090299.0
2025-06-10,3440.0,3485.0,3424.0,3463.5,313572,20198,1085916733.0
2025-06-09,3394.3,3435.25,3390.05,3423.7,159154,12085,544507733.0
2025-06-06,3371.95,3390.0,3358.0,3385.7,147321,12728,497264885.0
2025-06-05,3429.25,3429.3,3364.2,3371.95,62839,6850,212614250.0
2025-06-04,3388.95,3395.9,3370.6,3380.55,107633,7685,364349399.0
2025-06-03,3449.95,3472.45,3399.4,3405.05,919365,54188,3140541075.0
2025-06-02,3462.7,3462.7,3418.3,3449.8,163215,16965,562049220.0
2025-05-30,3502.25,3502.3,3452.4,3464.5,55453,5690,193095139.0
2025-05-29,3500.05,3531.9,3486.2,3497.2,60523,6462,211965235.0
2025-05-28,3512.0,3526.45,3492.95,3498.15,44196,4774,154760727.0
2025-05-27,3537.35,3538.8,3481.85,3498.9,545274,34275,1909113653.0
2025-05-26,3525.0,3545.35,3508.9,3538.05,120342,9283,425844480.0
2025-05-23,3479.0,3534.55,3470.0,3514.0,56031,6296,196923245.0
2025-05-22,3505.0,3505.0,3451.95,3479.0,87035,7600,302430509.0
2025-05-21,3503.2,3535.0,3499.0,3524.95,89492,5998,315385413.0
2025-05-20,3540.0,3558.95,3492.8,3498.05,276279,19166,971323239.0
2025-05-19,3549.25,3549.5,3503.6,3519.2,202305,12503,712882885.0
2025-05-16,3580.95,3586.0,3547.0,3562.95,239863,11580,853357538.0
2025-05-15,3554.0,3599.0,3514.8,3580.75,117209,10013,417622404.0
2025-05-14,3515.95,3561.0,3507.25,3549.05,58427,5853,206886906.0
2025-05-13,3623.95,3623.95,3510.2,3515.95,130770,12166,463129820.0
2025-05-12,3500.1,3630.0,3500.1,3620.3,172535,15783,616438366.0
2025-05-09,3380.0,3445.15,3380.0,3442.2,50372,4337,172617581.0
2025-05-08,3448.9,3475.15,3430.0,3447.45,52602,4934,181681963.0
2025-05-07,3449.95,3458.35,3421.3,3445.2,40003,3329,137625928.0
2025-05-06,3456.45,3473.8,3435.95,3458.95,88329,7293,305407678.0
2025-05-05,3445.05,3503.8,3445.05,3455.15,47732,2970,165760809.0
2025-05-02,3474.5,3491.8,3421.1,3443.8,54402,3685,188120618.0
2025-04-30,3471.5,3509.6,3367.85,3429.65,52154,3825,180907640.0
2025-04-29,3444.1,3495.0,3431.2,3471.5,107574,7893,372782926.0
2025-04-28,3431.0,3457.95,3405.0,3443.55,69145,4361,237559789.0
2025-04-25,3402.6,3477.55,3402.6,3447.35,67985,7413,233979829.0
2025-04-24,3401.9,3412.3,3389.0,3401.25,60547,3992,205874400.0
2025-04-23,3358.05,3420.0,3337.55,3412.3,153398,13435,521013485.0
2025-04-22,3324.95,3333.7,3294.45,3318.05,170295,12129,564951244.0
2025-04-21,3293.95,3353.85,3285.85,3321.6,135470,11094,450749054.0
2025-04-17,3240.0,3304.0,3218.5,3298.95,70459,6741,228781830.0
2025-04-16,3274.75,3278.2,3230.1,3272.75,87689,4896,286081714.0
2025-04-15,3300.05,3310.0,3240.2,3247.7,161796,11220,527286745.0
2025-04-11,3290.0,3298.4,3205.25,3232.3,229229,16912,743651657.0
2025-04-09,3276.0,3276.0,3215.9,3246.1,131136,11578,425851514.0
2025-04-08,3299.0,3348.9,3255.3,3293.55,263659,21906,868442353.0
2025-04-07,3060.25,3290.0,3060.25,3276.6,274432,31158,868144858.0
2025-04-04,3366.95,3391.3,3295.6,3299.45,171571,22940,570286723.0
2025-04-03,3485.4,3498.0,3396.1,3403.9,207922,25985,713118164.0
2025-04-02,3550.35,3563.7,3530.05,3545.0,32290,3246,114607242.0
2025-04-01,3588.95,3588.95,3524.0,3550.35,71234,8460,252712059.0
2025-03-28,3648.0,3660.0,3596.05,3604.45,70765,8029,255709679.0
2025-03-27,3624.65,3662.85,3610.0,3651.65,30955,3520,112841071.0
2025-03-26,3661.0,3679.9,3625.0,3635.5,29338,3951,107319341.0
2025-03-25,3649.95,3708.9,3638.05,3657.7,140545,13910,516273878.0
2025-03-24,3585.05,3649.6,3566.65,3631.55,85061,9459,307224817.0
2025-03-21,3499.95,3615.0,3466.6,3579.4,68893,6889,245729524.0
2025-03-20,3508.05,3577.55,3508.05,3562.8,113648,10340,404726254.0
2025-03-19,3549.0,3549.0,3463.05,3497.15,157024,14776,546632788.0
2025-03-18,3503.0,3556.45,3479.0,3552.65,78586,7054,278095935.0
2025-03-17,3508.5,3610.3,3478.0,3497.25,91119,7769,319733644.0
2025-03-13,3506.0,3524.15,3484.5,3512.35,21598,2831,75621485.0
2025-03-12,3564.95,3565.3,3489.6,3503.6,37641,4126,132094530.0
2025-03-11,3553.25,3589.55,3536.9,3574.9,48906,6277,174485023.0
2025-03-10,3610.2,3623.45,3582.1,3588.1,40546,6194,146065904.0
2025-03-07,3624.95,3624.95,3575.0,3611.3,30644,3720,110347886.0
2025-03-06,3568.0,3608.95,3536.15,3599.7,52086,6991,185861219.0
2025-03-05,3529.95,3598.0,3521.1,3549.35,50343,6537,179671012.0
2025-03-04,3483.95,3549.9,3463.8,3532.65,68643,9179,241300160.0
2025-03-03,3499.85,3523.95,3475.0,3496.55,90088,10802,315150982.0
2025-02-28,3588.8,3599.0,3457.35,3483.9,95141,8550,332418104.0
2025-02-27,3628.95,3637.95,3600.0,3612.35,58527,9398,211463488.0
2025-02-25,3639.95,3657.95,3621.6,3631.1,209408,19180,762618262.0
2025-02-24,3767.35,3767.35,3670.65,3674.9,276198,11397,1023925556.0
2025-02-21,3781.2,3816.6,3775.0,3785.75,89843,7281,340731935.0
2025-02-20,3779.0,3789.5,3755.0,3777.95,45355,3495,171182953.0
2025-02-19,3872.0,3873.2,3767.5,3781.35,163847,6080,620968857.0
2025-02-18,3903.4,3924.6,3861.0,3869.45,55205,4949,214554284.0
2025-02-17,3900.0,3934.55,3860.0,3903.4,126487,12892,495823565.0
2025-02-14,3925.0,3948.0,3900.6,3932.75,88802,9581,347842889.0
2025-02-13,3955.0,3977.95,3903.35,3909.1,38697,5625,152145551.0
2025-02-12,3966.05,4020.0,3941.3,3950.2,70639,10458,280837286.0
2025-02-11,4029.8,4040.85,3955.6,3964.4,73609,8587,293734873.0
2025-02-10,4049.95,4051.95,4014.05,4035.5,91371,7721,368733997.0
2025-02-07,4060.15,4091.9,4009.05,4029.35,22001,3051,88764494.0
2025-02-06,4095.45,4135.0,4052.7,4082.7,40965,3766,166836741.0
2025-02-05,4161.0,4161.0,4075.9,4090.75,32703,5354,133918198.0
2025-02-04,4089.2,4120.0,4065.0,4113.7,75645,8796,310221986.0
2025-02-03,4030.0,4076.0,3999.0,4067.3,32307,4623,130710142.0
2025-02-01,4100.05,4129.0,4057.85,4073.75,14616,1902,59669468.0
2025-01-31,4102.5,4127.85,4088.35,4109.0,45628,4572,187320584.0
2025-01-30,4098.0,4129.8,4060.6,4102.45,47369,3637,194251086.0
2025-01-29,4057.25,4106.0,4055.0,4096.35,39893,3750,163285889.0
2025-01-28,4065.1,4101.95,4029.55,4036.45,74127,8499,300853940.0
2025-01-27,4105.45,4155.0,4041.55,4066.2,31079,3441,126927799.0
2025-01-24,4100.0,4177.7,4100.0,4151.3,40081,3244,166580004.0
2025-01-23,4154.05,4190.95,4141.8,4145.7,20614,2476,85897781.0
2025-01-22,4062.05,4163.0,4051.35,4154.0,62430,5072,257681656.0
2025-01-21,4098.0,4112.7,4029.2,4034.35,169326,17294,688663999.0
2025-01-20,4132.15,4149.45,4068.35,4076.95,38280,5513,156413044.0
2025-01-17,4165.0,4165.0,4100.5,4125.7,41873,5834,173118417.0
2025-01-16,4270.0,4290.0,4192.25,4208.1,60642,8467,255311958.0
2025-01-15,4223.75,4254.4,4208.0,4248.55,142598,10300,602608354.0
2025-01-14,4280.1,4315.95,4218.4,4233.75,228749,19207,973570546.0
2025-01-13,4249.95,4321.65,4224.65,4291.8,129611,9928,557044834.0
2025-01-10,4200.0,4296.8,4172.15,4265.55,221040,15213,938425802.0
2025-01-09,4105.9,4136.9,4025.45,4036.65,72625,8771,296571947.0
2025-01-08,4044.55,4125.95,4017.05,4107.5,58204,6365,236059450.0
2025-01-07,4106.0,4136.9,4011.25,4028.2,97931,10331,395570451.0
2025-01-06,4105.0,4149.25,4064.7,4094.7,64713,6852,265106557.0
2025-01-03,4180.05,4180.05,4091.0,4099.25,161332,17891,663185742.0
2025-01-02,4124.95,4203.5,4098.0,4184.25,80295,7840,334001347.0
2025-01-01,4100.0,4134.65,4088.0,4112.8,29165,4490,120014292.0
2024-12-31,4123.55,4133.35,4034.0,4097.2,49909,7813,203239118.0
2024-12-30,4174.9,4199.0,4112.0,4158.95,34498,5095,143165268.0
2024-12-27,4162.0,4180.5,4149.0,4167.95,46264,7648,192782829.0
2024-12-26,4176.0,4192.3,4142.35,4168.6,28724,4309,119682487.0
2024-12-24,4159.95,4217.3,4158.05,4180.65,38839,4108,162539007.0
2024-12-23,4199.0,4215.35,4115.0,4156.8,59196,4683,245525979.0
2024-12-20,4310.1,4381.95,4152.95,4168.05,125781,10815,529323268.0
2024-12-19,4283.85,4362.9,4262.4,4271.5,55639,6338,239826589.0
2024-12-18,4324.35,4360.0,4295.95,4348.2,23020,3186,99753350.0
2024-12-17,4415.9,4430.45,4318.0,4324.4,53684,6413,233766410.0
2024-12-16,4424.1,4473.0,4398.75,4415.9,34329,3858,151889118.0
2024-12-13,4449.0,4493.8,4394.7,4473.6,184505,17851,823093238.0
2024-12-12,4444.95,4484.95,4427.0,4456.95,99704,9638,445120161.0
2024-12-11,4438.5,4449.9,4407.6,4427.55,38019,2780,168208614.0
2024-12-10,4446.95,4494.0,4414.5,4431.95,40964,3078,182239905.0
2024-12-09,4424.0,4470.0,4416.45,4452.05,81719,6976,363340104.0
2024-12-06,4450.0,4463.1,4413.0,4446.5,116291,10185,516425087.0
2024-12-05,4365.0,4488.0,4360.2,4459.25,183703,23287,811968786.0
2024-12-04,4319.9,4386.4,4294.2,4355.1,38270,3660,166895439.0
2024-12-03,4300.0,4325.5,4266.55,4301.45,30653,3037,131694302.0
2024-12-02,4264.95,4287.0,4230.0,4272.95,40342,4837,171985012.0
2024-11-29,4219.95,4298.0,4196.0,4273.55,121945,11998,520691425.0
2024-11-28,4327.95,4340.1,4234.0,4248.05,46853,5301,199907383.0
2024-11-27,4351.85,4377.0,4323.15,4332.1,33790,3531,146948812.0
2024-11-26,4286.85,4364.55,4286.85,4351.85,75212,8773,326210553.0
2024-11-25,4293.95,4328.0,4253.9,4315.1,114861,10535,493158448.0
2024-11-22,4079.7,4254.5,4053.6,4245.75,228392,21203,959342768.0
2024-11-21,4089.95,4090.0,4025.0,4077.25,77479,4333,315424946.0
2024-11-19,4028.85,4131.0,4015.85,4039.3,55789,6926,227874322.0
2024-11-18,4215.0,4215.0,3990.65,4019.5,96670,11433,391272866.0
2024-11-14,4131.8,4160.35,4115.9,4146.15,150903,20514,625282494.0
2024-11-13,4186.75,4195.0,4131.0,4149.05,22090,2654,91846231.0
2024-11-12,4200.15,4214.0,4165.0,4195.95,27766,3212,116476946.0
2024-11-11,4134.95,4233.85,4119.0,4195.05,37213,4093,156015042.0
2024-11-08,4158.95,4169.15,4119.7,4145.0,114003,6174,472358064.0
2024-11-07,4184.0,4205.25,4085.05,4149.4,44655,4625,185147601.0
2024-11-06,4000.05,4149.8,3977.0,4138.8,426912,13175,1714297795.0
2024-11-05,3950.0,3985.5,3947.35,3971.75,26841,2991,106520011.0
2024-11-04,3969.95,3986.25,3915.0,3962.4,69842,9658,275879621.0
2024-11-01,3992.95,3996.0,3979.75,3985.4,17194,4224,68568148.0
2024-10-31,4058.45,4079.95,3959.0,3971.25,417913,25329,1666591133.0
2024-10-30,4099.95,4107.8,4061.05,4085.6,39289,4574,160823083.0
2024-10-29,4090.05,4101.0,4059.55,4077.15,100517,8340,409681628.0
2024-10-28,4058.05,4133.0,4051.05,4093.05,77086,6764,315970114.0
2024-10-25,4069.9,4091.75,4034.0,4057.9,142063,15999,577488552.0
2024-10-24,4016.35,4075.6,4016.35,4048.15,41480,5947,167841314.0
2024-10-23,3986.55,4113.65,3986.55,4066.75,70857,8269,288231095.0
2024-10-22,4054.05,4090.0,4008.0,4015.8,44932,3980,182641592.0
2024-10-21,4125.05,4138.15,4062.85,4078.3,49298,4025,201797971.0
2024-10-18,4109.0,4146.1,4090.0,4121.85,151716,10673,625514243.0
2024-10-17,4118.75,4129.0,4092.25,4106.2,70673,4192,290201668.0
2024-10-16,4077.5,4114.6,4068.3,4094.8,97300,11782,397373475.0
2024-10-15,4145.0,4169.0,4095.5,4117.5,120743,11445,497049311.0
2024-10-14,4145.0,4166.4,4121.95,4136.65,54607,7167,226196693.0
2024-10-11,4140.0,4240.0,4112.65,4150.6,285561,26324,1186631684.0
2024-10-10,4248.05,4293.3,4200.0,4228.4,48517,4876,206406503.0
2024-10-09,4274.65,4295.0,4245.65,4252.3,24745,2671,105691808.0
2024-10-08,4270.85,4272.85,4205.0,4251.3,48326,4663,204522207.0
2024-10-07,4265.05,4297.25,4229.0,4272.25,95249,7124,405381935.0
2024-10-04,4225.0,4299.0,4224.65,4249.1,226516,18243,963514976.0
2024-10-03,4277.95,4277.95,4209.3,4232.4,89286,4702,377569064.0
2024-10-01,4255.0,4295.2,4243.1,4286.3,126596,9915,539943404.0
2024-09-30,4294.95,4296.45,4259.85,4268.4,52596,5920,224859809.0
2024-09-27,4343.35,4378.45,4300.1,4309.05,86656,7721,375197298.0
2024-09-26,4255.0,4316.35,4255.0,4291.25,66991,7429,287284368.0
2024-09-25,4257.95,4289.0,4240.0,4275.95,61267,7143,261100219.0
2024-09-24,4264.95,4290.0,4243.35,4272.4,25648,3394,109381042.0
2024-09-23,4286.05,4303.95,4252.7,4267.55,53740,7792,229633926.0
2024-09-20,4320.95,4331.2,4226.6,4285.3,503940,34161,2153112398.0
2024-09-19,4397.75,4421.0,4282.9,4296.85,81459,11615,353329165.0
2024-09-18,4516.95,4516.95,4321.65,4346.6,68843,8119,301055594.0
2024-09-17,4505.15,4535.0,4468.75,4503.65,17791,2394,80126290.0
2024-09-16,4530.0,4544.8,4495.95,4513.0,16633,2232,75128380.0
2024-09-13,4530.0,4546.5,4505.75,4522.25,126778,8245,573895122.0
2024-09-12,4501.55,4530.2,4431.7,4517.2,39658,5462,177855275.0
2024-09-11,4520.0,4548.0,4473.6,4485.25,21662,2771,97649063.0
2024-09-10,4453.0,4539.95,4441.0,4506.9,68749,7342,308258781.0
2024-09-09,4401.1,4490.0,4401.1,4453.0,39832,5474,177798153.0
2024-09-06,4479.95,4517.8,4440.25,4457.5,197568,18411,881569404.0
2024-09-05,4484.0,4498.0,4455.0,4480.35,26026,4237,116316380.0
2024-09-04,4479.0,4486.45,4438.35,4479.65,91069,3311,407245616.0
2024-09-03,4540.1,4555.0,4495.5,4512.2,73169,2897,331394647.0
2024-09-02,4584.85,4585.9,4513.75,4520.85,28256,3413,128533580.0
2024-08-30,4513.05,4580.0,4488.7,4551.85,141415,14226,642328226.0
2024-08-29,4450.0,4555.0,4450.0,4510.55,50690,7264,229270093.0
2024-08-28,4500.0,4563.15,4457.85,4506.75,72249,3650,326599297.0
2024-08-27,4501.15,4511.15,4485.65,4494.25,64237,4082,288780832.0
2024-08-26,4480.3,4551.0,4480.3,4501.15,155945,12779,703951650.0
2024-08-23,4500.0,4504.5,4453.15,4464.0,233214,13228,1041037168.0
2024-08-22,4564.0,4564.0,4497.35,4499.95,81625,8494,369124601.0
2024-08-21,4501.05,4558.8,4500.0,4551.7,74833,6592,337705275.0
2024-08-20,4503.0,4564.75,4500.0,4522.55,53774,5597,243722125.0
2024-08-19,4417.9,4493.0,4390.45,4489.35,91876,10573,409196308.0
2024-08-16,4353.95,4427.9,4327.25,4416.55,183439,14480,807120226.0
2024-08-14,4206.15,4304.2,4190.9,4291.65,115005,10901,492313641.0
2024-08-13,4211.05,4232.85,4183.6,4195.0,33895,6153,142774886.0
2024-08-12,4239.8,4239.8,4188.85,4196.1,46631,5576,196349770.0
2024-08-09,4227.95,4251.5,4215.0,4230.05,169602,13351,717927083.0
2024-08-08,4178.0,4231.0,4160.5,4170.9,65387,7067,274483073.0
2024-08-07,4220.05,4242.0,4181.0,4200.8,14407,2475,60559314.0
2024-08-06,4162.6,4256.0,4160.15,4170.7,69313,8045,291203155.0
2024-08-05,4200.05,4233.45,4110.8,4155.3,53458,6696,222758439.0
2024-08-02,4363.0,4397.4,4268.3,4283.0,311400,20260,1336976364.0
2024-08-01,4399.75,4419.0,4365.65,4395.75,75476,5654,331890410.0
2024-07-31,4363.95,4414.4,4348.3,4384.65,49127,5334,215619529.0
2024-07-30,4381.25,4397.95,4327.5,4364.25,32025,4929,139527496.0
2024-07-29,4421.85,4431.25,4370.8,4380.2,65907,9441,289412361.0
2024-07-26,4331.05,4421.5,4331.05,4387.95,406430,24635,1784375426.0
2024-07-25,4296.95,4343.95,4276.5,4322.9,56996,5753,246308247.0
2024-07-24,4281.05,4339.0,4277.25,4306.2,112849,11734,486034775.0
2024-07-23,4298.95,4360.0,4265.55,4302.5,69621,8422,299517318.0
2024-07-22,4295.05,4318.0,4265.0,4286.2,90087,8841,386438196.0
2024-07-19,4314.3,4360.25,4286.15,4302.75,239493,18804,1032709697.0
2024-07-18,4159.95,4324.3,4159.95,4314.3,289927,16239,1239637673.0
2024-07-16,4180.0,4193.35,4144.65,4175.35,177807,8054,741535120.0
2024-07-15,4225.6,4237.05,4158.0,4168.0,158248,15998,665234478.0
2024-07-12,4001.15,4199.0,3974.1,4184.9,589314,42600,2436134106.0
2024-07-11,3944.65,3979.9,3895.7,3922.7,551198,13798,2154759997.0
2024-07-10,3978.05,4003.0,3902.2,3909.9,214484,10799,840943131.0
2024-07-09,3976.1,4011.0,3976.0,3991.7,46214,3741,184496244.0
2024-07-08,4015.05,4026.3,3910.0,3975.95,92000,9007,366901153.0
2024-07-05,4014.95,4026.8,3988.0,4012.45,305014,31429,1222698935.0
2024-07-04,4004.95,4047.75,3979.35,4021.25,56861,8076,228899240.0
2024-07-03,4020.0,4020.85,3954.45,3964.85,40378,4893,160380703.0
2024-07-02,3990.0,4022.0,3984.0,4016.0,50665,6577,202911606.0
2024-07-01,3904.0,4000.95,3886.05,3973.4,155437,17792,617000005.0
2024-06-28,3927.5,3959.95,3896.4,3904.95,299222,32611,1172509557.0
2024-06-27,3825.0,3940.0,3819.1,3933.5,200853,27963,783683199.0
2024-06-26,3840.35,3865.0,3840.35,3856.05,81411,8679,313977547.0
2024-06-25,3820.0,3846.9,3793.7,3839.1,52324,7544,199940282.0
2024-06-24,3810.75,3856.0,3798.0,3817.3,31624,3879,121255559.0
2024-06-21,3848.95,3877.1,3797.3,3808.95,345408,29667,1319558967.0
2024-06-20,3801.0,3809.35,3780.1,3786.6,29584,4043,112210013.0
2024-06-19,3821.5,3832.55,3794.0,3801.1,29711,3414,113206741.0
2024-06-18,3822.15,3842.0,3797.35,3814.75,40767,4541,155684897.0
2024-06-14,3885.3,3887.0,3826.45,3831.95,66905,6174,256766722.0
2024-06-13,3859.25,3889.95,3853.75,3877.5,79595,9660,308184683.0
2024-06-12,3879.65,3893.3,3827.2,3832.4,23859,3191,92132128.0
2024-06-11,3861.95,3878.0,3842.0,3852.05,27087,2851,104676560.0
2024-06-10,3904.95,3904.95,3842.0,3856.3,36808,4347,142269811.0
2024-06-07,3835.0,3915.0,3835.0,3892.9,429643,34300,1672560102.0
2024-06-06,3776.0,3839.0,3742.0,3830.7,101962,11784,386581776.0
2024-06-05,3715.0,3783.6,3700.0,3746.6,104806,13660,392965179.0
2024-06-04,3719.95,3743.85,3593.3,3715.8,200551,25717,739759816.0
2024-06-03,3774.9,3774.9,3696.1,3707.35,51497,5263,191245920.0
2024-05-31,3749.5,3749.5,3655.0,3669.5,350824,29499,1295318850.0
2024-05-30,3781.0,3794.7,3717.0,3735.8,169744,20063,636711769.0
2024-05-29,3842.0,3844.25,3800.55,3805.45,93331,11021,356100815.0
2024-05-28,3883.95,3883.95,3831.55,3840.0,27095,3135,104421440.0
2024-05-27,3852.65,3907.0,3840.0,3846.55,99435,11304,385792368.0
2024-05-24,3870.15,3885.0,3842.45,3850.75,163855,14019,631748338.0
2024-05-23,3835.8,3904.75,3827.7,3895.1,39379,4756,152305461.0
2024-05-22,3840.0,3841.45,3816.0,3831.35,88374,11817,338355362.0
2024-05-21,3844.95,3844.95,3810.1,3821.65,90317,8865,344969459.0
2024-05-18,3843.15,3860.0,3840.0,3850.0,4203,711,16176146.0
2024-05-17,3915.05,3920.0,3829.7,3833.95,223617,19632,863796624.0
2024-05-16,3888.75,3910.0,3844.5,3900.3,33443,4023,129810370.0
2024-05-15,3901.95,3930.2,3875.05,3880.35,71057,7667,276747752.0
2024-05-14,3926.15,3945.2,3893.8,3901.95,19294,2724,75569415.0
2024-05-13,3888.0,3955.0,3869.65,3946.8,68499,9512,268266680.0
2024-05-10,3965.0,3973.8,3884.65,3895.85,119844,11071,467789938.0
2024-05-09,3959.35,3970.0,3911.05,3960.05,24876,3876,98104692.0
2024-05-08,3951.55,3984.0,3940.05,3972.7,25099,2921,99572186.0
2024-05-07,3925.85,3988.3,3912.7,3978.25,68881,4882,271805571.0
2024-05-06,3859.95,3939.1,3855.0,3920.7,53334,5434,208811436.0
2024-05-03,3881.65,3893.3,3798.05,3839.35,149072,19106,571396766.0
2024-05-02,3800.0,3870.2,3782.5,3863.75,76798,9478,295504909.0
2024-04-30,3870.6,3880.0,3810.0,3822.6,98711,9592,380313064.0
2024-04-29,3825.6,3877.7,3820.0,3870.6,22303,2585,86023295.0
2024-04-26,3859.65,3875.85,3801.25,3812.85,114191,9938,437719635.0
2024-04-25,3814.2,3872.0,3807.8,3851.85,86420,8502,332681422.0
2024-04-24,3890.0,3896.0,3824.15,3831.25,38530,3175,148588183.0
2024-04-23,3880.0,3894.9,3861.4,3874.2,61696,5291,239191410.0
2024-04-22,3828.6,3879.35,3815.5,3865.45,51988,6539,199555689.0
2024-04-19,3840.6,3851.8,3801.0,3827.45,223097,20611,854501894.0
2024-04-18,3889.75,3936.0,3851.0,3863.5,65782,5762,256251830.0
2024-04-16,3909.0,3928.1,3863.65,3872.3,163353,14039,636885911.0
2024-04-15,3995.0,4063.0,3920.0,3941.65,104649,8182,417939574.0
2024-04-12,3982.5,4013.25,3948.0,4000.3,179585,13418,716474956.0
2024-04-10,3950.05,3989.3,3916.6,3982.55,109590,7989,432760866.0
2024-04-09,3980.0,4015.05,3925.1,3947.15,81107,9845,321314901.0
2024-04-08,3980.0,4030.0,3960.1,3972.7,90377,8542,361460417.0
2024-04-05,3980.0,4001.9,3959.5,3979.55,93066,6207,370500256.0
2024-04-04,3970.05,4027.3,3936.0,4003.05,42264,4289,168502029.0
2024-04-03,3859.55,3981.2,3855.7,3947.25,62264,5416,245006238.0
2024-04-02,3889.95,3905.5,3875.0,3882.6,44046,5109,171145767.0
2024-04-01,3900.0,3932.0,3886.6,3915.25,58865,6999,229887978.0
2024-03-28,3856.45,3914.65,3840.5,3883.55,80498,5802,312999937.0
2024-03-27,3896.95,3896.95,3828.55,3837.5,71441,6226,276230499.0
2024-03-26,3897.55,3946.0,3872.0,3877.1,203863,13166,793960731.0
2024-03-22,3899.0,3938.4,3856.0,3913.1,275926,24449,1077716620.0
2024-03-21,3985.4,4008.45,3948.85,3974.05,64927,5295,258279579.0
2024-03-20,3986.0,4018.0,3960.5,3970.45,136936,10788,547149344.0
